farmer_code,stratum_code,eligible,exclusion_reason_code
SYN-001,NORTH,true,
SYN-002,NORTH,true,
SYN-003,NORTH,true,
SYN-004,NORTH,true,
SYN-005,NORTH,true,
SYN-006,NORTH,true,
SYN-007,NORTH,true,
SYN-008,NORTH,true,
SYN-009,NORTH,true,
SYN-010,NORTH,true,
SYN-011,NORTH,true,
SYN-012,NORTH,true,
SYN-013,NORTH,true,
SYN-014,NORTH,true,
SYN-015,NORTH,true,
SYN-016,NORTH,true,
SYN-017,NORTH,true,
SYN-018,NORTH,true,
SYN-019,NORTH,true,
SYN-020,NORTH,true,
SYN-021,NORTH,true,
SYN-022,NORTH,true,
SYN-023,NORTH,true,
SYN-024,NORTH,true,
SYN-025,NORTH,true,
SYN-026,NORTH,true,
SYN-027,NORTH,true,
SYN-028,NORTH,true,
SYN-029,NORTH,true,
SYN-030,NORTH,true,
SYN-031,NORTH,true,
SYN-032,NORTH,true,
SYN-033,CENTRAL,true,
SYN-034,CENTRAL,true,
SYN-035,CENTRAL,true,
SYN-036,CENTRAL,true,
SYN-037,CENTRAL,true,
SYN-038,CENTRAL,true,
SYN-039,CENTRAL,true,
SYN-040,CENTRAL,true,
SYN-041,CENTRAL,true,
SYN-042,CENTRAL,true,
SYN-043,CENTRAL,true,
SYN-044,CENTRAL,true,
SYN-045,CENTRAL,true,
SYN-046,CENTRAL,true,
SYN-047,CENTRAL,true,
SYN-048,CENTRAL,true,
SYN-049,CENTRAL,true,
SYN-050,CENTRAL,true,
SYN-051,CENTRAL,true,
SYN-052,CENTRAL,true,
SYN-053,CENTRAL,true,
SYN-054,CENTRAL,true,
SYN-055,CENTRAL,true,
SYN-056,CENTRAL,true,
SYN-057,CENTRAL,true,
SYN-058,CENTRAL,true,
SYN-059,CENTRAL,true,
SYN-060,CENTRAL,true,
SYN-061,CENTRAL,true,
SYN-062,CENTRAL,true,
SYN-063,CENTRAL,true,
SYN-064,CENTRAL,true,
SYN-065,SOUTH,true,
SYN-066,SOUTH,true,
SYN-067,SOUTH,true,
SYN-068,SOUTH,true,
SYN-069,SOUTH,true,
SYN-070,SOUTH,true,
SYN-071,SOUTH,true,
SYN-072,SOUTH,true,
SYN-073,SOUTH,true,
SYN-074,SOUTH,true,
SYN-075,SOUTH,true,
SYN-076,SOUTH,true,
SYN-077,SOUTH,true,
SYN-078,SOUTH,true,
SYN-079,SOUTH,true,
SYN-080,SOUTH,true,
SYN-081,SOUTH,true,
SYN-082,SOUTH,true,
SYN-083,SOUTH,true,
SYN-084,SOUTH,true,
SYN-085,SOUTH,true,
SYN-086,SOUTH,true,
SYN-087,SOUTH,true,
SYN-088,SOUTH,true,
SYN-089,SOUTH,true,
SYN-090,SOUTH,true,
SYN-091,SOUTH,true,
SYN-092,SOUTH,true,
SYN-093,SOUTH,true,
SYN-094,SOUTH,true,
SYN-095,SOUTH,true,
SYN-096,SOUTH,true,
SYN-097,SOUTH,true,
SYN-098,SOUTH,true,
SYN-099,SOUTH,true,
SYN-100,SOUTH,true,
SYN-101,SOUTH,true,
SYN-102,SOUTH,true,
SYN-103,SOUTH,true,
SYN-104,SOUTH,true,
SYN-105,SOUTH,true,
SYN-106,SOUTH,true,
SYN-107,SOUTH,true,
SYN-108,SOUTH,true,
SYN-109,SOUTH,true,
SYN-110,SOUTH,true,
SYN-111,SOUTH,true,
SYN-112,SOUTH,true,
SYN-113,SOUTH,true,
SYN-114,SOUTH,true,
SYN-115,SOUTH,true,
SYN-116,SOUTH,true,
SYN-117,SOUTH,true,
SYN-118,SOUTH,true,
SYN-119,SOUTH,true,
SYN-120,SOUTH,true,
SYN-121,SOUTH,true,
